InputID,TargetID,Distance
AN BURN S01 ,BO BURN O01 ,60073.1189547921
AN BURN S01 ,BO BURN O02 ,59907.6026025799
AN BURN S01 ,BO BURN O03 ,59753.9537460473
AN BURN S01 ,BO BURN S01 ,59313.6768934328
AN BURN S01 ,BO BURN S02 ,59517.9633403694
AN BURN S01 ,BO BURN S03 ,59648.8445330233
AN BURN S01 ,BO UNBURN G01 ,58630.4894388664
AN BURN S01 ,BO UNBURN G02 ,58605.3615458141
AN BURN S01 ,BO UNBURN O01 ,58518.6173906188
AN BURN S01 ,BO UNBURN O02 ,59178.1107376198
AN BURN S01 ,BO UNBURN S01 ,57874.5575591797
AN BURN S01 ,BO UNBURN S02 ,57878.6365539646
AN BURN S01 ,BO UNBURN S03 ,57998.8755770425
AN BURN S01 ,HT BURN C01 ,110084.354663558
AN BURN S01 ,HT BURN C02,109952.910088505
AN BURN S01 ,HT BURN C03 ,110025.859100938
AN BURN S01 ,HT BURN G01 ,109893.387401326
AN BURN S01 ,HT BURN G02 ,109942.859307785
AN BURN S01 ,HT BURN G04 ,110134.725322195
AN BURN S01 ,HT BURN O01 ,109752.388509237
AN BURN S01 ,HT BURN O02 ,109505.617683299
AN BURN S01 ,HT BURN O03 ,109751.460394859
AN BURN S01 ,HT UNBURN C01 ,110587.202689159
AN BURN S01 ,HT UNBURN C02,110463.934317995
AN BURN S01 ,HT UNBURN G01 ,110846.469171182
AN BURN S01 ,HT UNBURN G02 ,110977.526198222
AN BURN S01 ,HT UNBURN O01 ,110526.39418569
AN BURN S01 ,HT UNBURN O02,110360.614120977
AN BURN S01 ,ML BURN G01 ,189628.753688959
AN BURN S01 ,ML BURN G02 ,189595.757793306
AN BURN S01 ,ML BURN O01 ,189531.708740358
AN BURN S01 ,ML BURN O02 ,189310.486533724
AN BURN S01 ,ML BURN O04 ,186835.321965148
AN BURN S01 ,ML BURN S01 ,188897.568006942
AN BURN S01 ,ML BURN S02 ,188846.34466404
AN BURN S01 ,ML UNBURN G04 ,190364.406751161
